,Rate,Review,Price,QtyLeft,Sold
132,5,648,35,983,910
133,5,2914,35,983,4113
134,5,5257,10,490,7338
135,5,5676,10,490,7674
136,,,86,988,
137,,,86,988,
138,,,86,988,
139,,,86,988,
140,5,2287,10,490,3071
141,5,3013,10,490,4017
142,5,8486,51,483,11723
143,,,86,988,
144,5,2037,10,490,2851
145,,,86,988,
146,5,2275,51,483,3198
147,,,7,494,
148,,,164,996,
149,5,24667,51,483,39512
150,5,20327,51,483,30864
151,5,4368,35,983,5930
152,,,164,996,
153,,,164,996,
154,5,3475,35,983,4729
155,5,14629,51,483,21631
156,,,164,996,
157,5,2725,51,483,3873
158,,,164,996,
159,5,4744,51,483,6879
160,5,513,51,483,723
161,,,7,494,
162,,,86,988,
163,5,1250,35,983,1719
164,5,2013,10,490,2669
165,5,5676,35,983,8220
166,5,5869,35,983,8354
167,,,86,988,
168,5,13625,51,483,19575
169,,,7,494,
170,5,311,143,993,419
171,5,1293,10,490,1737
172,5,820,143,993,1123
173,5,788,143,993,1061
174,5,4759,51,483,6472
175,5,29284,51,483,52167
176,5,3461,10,490,4663
177,5,5808,10,490,7925
178,5,2710,10,490,3832
179,,,7,494,
180,5,4449,10,490,6225
181,5,24202,51,483,40760
182,,,86,988,
183,5,1597,143,993,2149
184,,,164,996,
185,5,2542,35,983,3527
186,,,164,996,
187,5,6549,10,490,9413
188,,,86,988,
189,,,164,996,
190,4.8,2057,14,440,2774
191,,,86,988,
192,5,3272,10,490,4764
193,,,86,988,
194,,,86,988,
195,5,2753,35,983,3809
196,5,10472,51,483,14741
197,,,86,988,
198,5,2690,35,983,3686
199,5,121,143,993,168
200,5,2818,51,483,3902
201,5,289,51,483,405
202,,,86,988,
203,5,3372,35,983,4910
204,5,665,10,490,932
205,,,7,494,
206,4.9,558,3,53,806
207,,,164,996,
208,,,86,988,
209,5,28963,51,483,49208
210,5,10838,51,483,15222
211,5,868,10,490,1171
212,5,3741,35,983,5196
213,5,895,143,993,1190
214,5,309,51,483,450
215,,,164,996,
216,5,13205,51,483,18938
217,,,86,988,
218,5,4146,10,490,5936
219,5,1520,10,490,2034
220,,,164,996,
221,,,7,494,
222,,,164,996,
223,,,164,996,
224,5,12854,51,483,18041
225,,,164,996,
226,5,28934,51,483,51006
227,,,86,988,
228,,,7,494,
229,5,4165,35,983,6044
230,5,1909,10,490,2543
231,5,8080,51,483,11291
232,,,164,996,
233,5,2848,10,490,3938
234,5,4492,10,490,6530
235,,,86,988,
236,,,164,996,
237,,,164,996,
238,5,11932,51,483,18050
239,5,2161,10,490,3132
240,5,2838,10,490,3892
241,5,11774,51,483,16768
242,5,23148,51,483,37029
243,5,130,143,993,180
244,,,86,988,
245,,,7,494,
246,,,86,988,
247,,,7,494,
248,,,86,988,
249,5,2698,51,483,3602
250,,,164,996,
251,,,164,996,
252,,,86,988,
253,,,86,988,
254,,,164,996,
255,,,86,988,
256,5,7798,51,483,11008
257,5,2037,35,983,2737
258,,,7,494,
259,5,3870,10,490,5536
260,,,86,988,
261,5,5107,35,983,7227
262,,,164,996,
263,5,22197,51,483,34627
264,,,164,996,
265,5,1811,10,490,2514
266,,,164,996,
267,,,7,494,
268,,,86,988,
269,5,1767,35,983,2568
270,5,5852,35,983,8076
271,5,27269,51,483,47069
272,,,164,996,
273,5,3315,10,490,4653
274,5,3403,10,490,4702
275,,,164,996,
276,,,7,494,
277,,,86,988,
278,5,10278,51,483,14175
279,5,18646,51,483,29110
280,,,164,996,
281,,,164,996,
282,,,86,988,
283,5,5408,35,983,7285
284,,,7,494,
285,5,424,35,983,612
286,,,164,996,
287,,,164,996,
288,,,86,988,
289,5,2873,35,983,4023
290,,,86,988,
291,5,1949,10,490,2638
292,,,86,988,
293,5,1531,3,195,2161
294,5,2931,35,983,3888
295,5,5060,10,490,6766
296,5,21317,51,483,33857
297,5,5438,10,490,7713
298,5,2552,10,490,3522
299,,,86,988,
300,5,1658,10,490,2199
301,,,7,494,
302,,,86,988,
303,,,7,494,
304,5,4320,35,983,6102
305,,,7,494,
306,,,7,494,
307,5,6314,10,490,9058
308,5,1263,143,993,1719
309,5,3218,10,490,4683
310,,,86,988,
311,,,86,988,
312,5,4116,10,490,5965
313,5,1948,143,993,2773
314,5,24880,51,483,42989
315,5,4792,10,490,6760
316,5,3912,10,490,5429
317,,,86,988,
318,5,421,143,993,586
319,5,1205,143,993,1608
320,5,6620,10,490,9515
321,,,7,494,
322,,,7,494,
323,5,6170,51,483,8844
324,5,8224,51,483,12116
325,5,3961,35,983,5554
326,5,4334,10,490,6093
327,,,164,996,
328,,,164,996,
329,,,164,996,
330,5,1893,143,993,2547
331,,,164,996,
332,5,1387,143,993,1981
333,5,5504,51,483,7994
334,5,24811,51,483,40329
335,5,18025,51,483,28669
336,5,11638,51,483,16075
337,5,2623,35,983,3779
338,,,164,996,
339,5,14106,51,483,20632
340,,,7,494,
341,5,5101,35,983,6896
342,,,86,988,
343,,,164,996,
344,5,2214,35,983,3106
345,,,86,988,
346,,,7,494,
347,5,16910,51,483,26454
348,,,164,996,
349,5,5841,35,983,7922
350,5,3219,35,983,4459
351,5,17756,51,483,26513
352,,,7,494,
353,,,86,988,
354,5,219,35,983,319
355,5,4595,51,483,6224
356,5,3768,10,490,5274
357,5,4946,10,490,6988
358,5,28015,51,483,48211
359,,,164,996,
360,,,7,494,
361,5,699,143,993,969
362,5,5248,35,983,7317
363,5,4642,10,490,6587
364,,,164,996,
365,5,29866,51,483,52062
366,5,6180,35,983,8309
367,,,7,494,
368,5,4150,51,483,5934
369,5,6421,10,490,8792
370,,,86,988,
371,5,5598,10,490,7513
372,,,7,494,
373,,,86,988,
374,5,1704,35,983,2338
375,5,5177,51,483,7048
376,5,165,10,490,233
377,5,359,51,483,523
378,5,241,10,490,352
379,,,7,494,
380,5,1603,35,983,2254
381,5,4988,10,490,7026
382,,,7,494,
383,,,86,988,
384,,,7,494,
385,5,15661,51,483,22744
386,5,5233,10,490,7017
387,5,290,10,490,391
388,5,14722,51,483,22840
389,5,2019,51,483,2867
390,5,22971,51,483,36570
391,5,3759,10,490,5188
392,5,4975,35,983,6672
393,4.6,2753,7,53165,3677
394,,,86,988,
395,5,28984,51,483,52476
396,5,2152,10,490,2943
397,,,7,494,
398,5,18594,51,483,28731
399,5,169,10,490,249
400,5,8681,51,483,12397
401,5,20233,51,483,30266
402,5,23885,51,483,38082
403,,,164,996,
404,,,164,996,
405,5,1556,143,993,2107
406,,,164,996,
407,,,164,996,
408,5,20792,51,483,32353
409,,,164,996,
410,5,5718,51,483,8261
411,5,2273,10,490,3221
412,,,164,996,
413,5,5248,35,983,7609
414,,,7,494,
415,5,5882,51,483,8599
416,5,6383,10,490,8703
417,,,164,996,
418,,,164,996,
419,,,7,494,
420,,,7,494,
421,,,7,494,
422,5,1872,51,483,2675
423,5,2207,10,490,2934
424,,,164,996,
425,,,86,988,
426,,,7,494,
427,5,993,10,490,1347
428,5,27972,51,483,46198
429,5,9056,51,483,13418
430,5,1834,143,993,2494
431,,,86,988,
432,5,90,143,993,133
433,,,164,996,
434,5,16359,51,483,24321
435,5,10904,51,483,16434
436,5,2871,51,483,3973
437,5,2443,51,483,3241
438,5,403,143,993,579
439,5,1100,143,993,1529
440,5,16298,51,483,24998
441,5,1352,10,490,1918
442,,,7,494,
443,5,1904,35,983,2554
444,,,86,988,
445,5,773,10,490,1097
446,,,7,494,
447,,,164,996,
448,5,4572,35,983,6640
449,,,86,988,
450,,,164,996,
451,5,1128,35,983,1534
452,5,2173,35,983,3157
453,,,164,996,
454,,,7,494,
455,,,7,494,
456,5,395,143,993,541
457,5,5226,35,983,7087
458,5,7687,51,483,10913
459,,,86,988,
460,5,2718,10,490,3905
461,,,86,988,
462,,,164,996,
463,5,5872,51,483,8434
464,5,13604,51,483,20178
465,5,24475,51,483,41489
466,5,979,10,490,1338
467,5,23301,51,483,36873
468,5,1846,51,483,2556
469,,,86,988,
470,,,86,988,
471,5,420,51,483,574
472,,,7,494,
473,,,7,494,
474,5,5128,10,490,7247
475,5,5478,35,983,7760
476,5,8984,51,483,13037
477,,,86,988,
478,5,6808,51,483,9974
479,5,3704,35,983,5116
480,,,7,494,
481,5,4513,35,983,6328
482,5,21823,51,483,34545
483,5,2715,35,983,3884
484,,,7,494,
485,5,2970,35,983,4304
486,,,86,988,
487,5,23645,51,483,37283
488,5,104,143,993,150
489,,,7,494,
490,,,7,494,
491,5,5279,51,483,7474
492,,,86,988,
493,5,2741,35,983,3907
494,5,1878,143,993,2624
495,5,6610,10,490,8973
496,,,164,996,
497,,,86,988,
498,,,7,494,
499,5,3655,35,983,5222
500,,,164,996,
501,,,86,988,
502,5,17479,51,483,26699
503,4.9,360,3,53,519
504,5,2557,10,490,3536
505,5,1565,35,983,2073
506,5,1316,3,195,1893
507,,,7,494,
508,5,14337,51,483,21453
509,5,896,35,983,1263
510,5,3228,10,490,4573
511,5,1191,143,993,1732
512,,,164,996,
513,5,4779,35,983,6788
514,,,164,996,
515,5,1901,10,490,2523
516,5,5352,10,490,7576
517,5,5660,51,483,8087
518,5,29237,51,483,52020
519,,,7,494,
520,,,86,988,
521,,,7,494,
522,5,22807,51,483,38182
523,5,29038,51,483,52378
524,,,86,988,
525,,,86,988,
526,,,164,996,
527,5,7171,51,483,10560
528,,,164,996,
529,5,1935,143,993,2672
530,,,7,494,
531,,,7,494,
532,,,86,988,
533,,,86,988,
534,5,1165,51,483,1553
535,5,16822,51,483,24550
536,5,32,35,983,46
537,,,164,996,
538,5,6363,10,490,8770
539,,,86,988,
540,5,4232,51,483,5785
541,,,164,996,
542,5,2783,10,490,3817
543,4.6,666,7,53165,910
544,5,6279,35,983,8628
545,5,2893,51,483,4100
546,,,86,988,
547,5,396,143,993,573
548,5,7613,51,483,10298
549,,,164,996,
550,,,7,494,
551,5,14916,51,483,22322
552,,,164,996,
553,5,5976,10,490,8145
554,,,86,988,
555,5,25229,51,483,43436
556,,,86,988,
557,5,3439,35,983,4655
558,5,2939,10,490,4236
559,,,7,494,
560,,,86,988,
561,5,6276,35,983,8449
562,5,1322,35,983,1867
563,5,19267,51,483,30383
564,,,86,988,
565,,,164,996,
566,5,5531,10,490,7635
567,5,13065,51,483,18922
568,,,86,988,
569,5,3528,10,490,5058
570,5,2625,10,490,3775
571,,,164,996,
572,,,86,988,
573,5,2343,10,490,3107
574,5,5120,35,983,7180
575,5,3156,10,490,4389
576,,,86,988,
577,,,7,494,
578,5,3098,10,490,4319
579,5,20145,51,483,30390
580,,,164,996,
581,,,86,988,
582,,,86,988,
583,5,4378,35,983,6275
584,5,24679,51,483,41931
585,5,1295,143,993,1718
586,5,262,35,983,367
587,,,86,988,
588,5,3443,10,490,4811
589,5,25702,51,483,41556
590,5,2172,10,490,2999
591,5,190,10,490,276
592,,,7,494,
593,5,4080,35,983,5737
594,5,12592,51,483,18706
595,,,164,996,
596,5,12554,51,483,18233
597,,,7,494,
598,5,236,143,993,328
599,5,6254,51,483,8413
600,5,10914,51,483,15582
601,,,7,494,
602,5,29461,51,483,52858
603,,,86,988,
604,,,86,988,
605,,,86,988,
606,,,7,494,
607,5,833,10,490,1154
608,5,2824,10,490,4042
609,5,3502,10,490,4932
610,5,7018,51,483,9573
611,,,7,494,
612,5,5698,10,490,8323
613,,,164,996,
614,5,2947,10,490,3931
615,5,19239,51,483,30072
616,,,164,996,
617,5,4574,35,983,6169
618,,,7,494,
619,5,4628,10,490,6500
620,5,5795,10,490,8450
621,5,733,143,993,1044
622,5,4933,35,983,7035
623,5,988,143,993,1315
624,5,24253,51,483,39789
625,5,966,35,983,1359
626,5,2503,10,490,3570
627,,,7,494,
628,,,86,988,
629,5,16258,51,483,24200
630,5,2939,10,490,4005
631,5,1862,143,993,2472
632,5,503,10,490,711
633,5,2295,35,983,3087
634,5,26590,51,483,45629
635,,,164,996,
636,5,1032,10,490,1469
637,5,1156,35,983,1568
638,5,1275,51,483,1813
639,,,7,494,
640,5,7713,51,483,10547
641,,,7,494,
642,,,7,494,
643,5,22100,51,483,35231
644,5,1622,35,983,2342
645,5,21949,51,483,33832
646,,,86,988,
647,5,4170,10,490,5950
648,,,86,988,
649,5,16757,51,483,25479
650,5,4351,10,490,6203
651,5,9678,51,483,13809
652,5,13304,51,483,19538
653,5,3158,51,483,4280
654,,,86,988,
655,4.9,3085,3,53,4499
656,,,86,988,
657,5,5429,35,983,7472
658,5,3931,10,490,5244
659,5,1627,3,195,2328
660,5,4553,10,490,6228
661,,,164,996,
662,,,86,988,
663,5,5515,35,983,7573
664,,,164,996,
665,5,398,35,983,561
666,5,5011,10,490,7004
667,,,7,494,
668,,,7,494,
669,5,233,35,983,330
670,,,86,988,
671,5,2716,51,483,3791
672,5,24706,51,483,42449
673,5,5390,35,983,7547
674,5,5945,35,983,8066
675,5,1532,35,983,2082
676,,,164,996,
677,5,5204,35,983,7503
678,5,6644,10,490,8957
679,,,86,988,
680,,,86,988,
681,,,86,988,
682,5,5091,35,983,7000
683,5,883,10,490,1256
684,,,86,988,
685,5,12626,51,483,18158
686,5,3466,51,483,4947
687,5,16773,51,483,25552
688,,,86,988,
689,5,6216,35,983,8463
690,5,3042,10,490,4351
691,,,86,988,
692,,,7,494,
693,5,11862,51,483,17983
694,5,5759,51,483,7882
695,5,20599,51,483,31037
696,5,4851,35,983,6922
697,,,86,988,
698,5,4613,35,983,6217
699,5,7129,51,483,10303
700,,,164,996,
701,5,3177,10,490,4447
702,,,7,494,
703,,,7,494,
704,5,10924,51,483,15410
705,5,2031,10,490,2750
706,5,1342,143,993,1951
707,5,16138,51,483,24024
708,5,3356,51,483,4588
709,5,4652,10,490,6441
710,,,86,988,
711,5,27138,51,483,45854
712,,,164,996,
713,5,11397,51,483,17101
714,,,7,494,
715,5,5613,10,490,8199
716,,,7,494,
717,5,20431,51,483,32256
718,,,86,988,
719,5,12273,51,483,18455
720,5,4440,35,983,6470
721,5,3014,35,983,4292
722,5,2475,10,490,3417
723,,,7,494,
724,5,1409,143,993,1888
725,5,722,143,993,957
726,5,758,35,983,1023
727,5,1946,10,490,2794
728,5,20612,51,483,32164
729,5,6488,10,490,9527
730,5,410,143,993,557
731,5,27288,51,483,48753
732,,,7,494,
733,,,164,996,
734,5,5908,51,483,8620
735,5,24,143,993,35
736,5,940,143,993,1292
737,,,86,988,
738,5,153,35,983,206
739,5,19890,51,483,32028
740,,,7,494,
741,5,1651,35,983,2342
742,5,5664,35,983,8145
743,5,7673,51,483,10752
744,5,4282,10,490,5829
745,5,26100,51,483,45268
746,5,442,51,483,597
747,5,2498,10,490,3563
748,,,164,996,
749,5,6353,35,983,8791
750,5,27486,51,483,45283
751,5,6294,35,983,8798
752,,,164,996,
753,5,2524,51,483,3436
754,5,140,143,993,193
755,5,3175,35,983,4310
756,,,86,988,
757,5,25179,51,483,43044
758,5,5571,51,483,7910
759,,,164,996,
760,,,86,988,
761,,,86,988,
762,5,20272,51,483,31714
763,5,428,35,983,612
764,5,346,35,983,495
765,,,164,996,
766,,,164,996,
767,5,298,51,483,418
768,5,6180,35,983,9094
769,5,19991,51,483,30070
770,5,5711,10,490,7745
771,,,86,988,
772,5,5567,10,490,8128
773,5,9215,51,483,12553
774,,,86,988,
775,5,3549,10,490,4815
776,5,1228,51,483,1710
777,5,22494,51,483,35243
778,5,22720,51,483,36142
779,5,16871,51,483,26500
780,,,86,988,
781,5,6041,35,983,8424
782,,,86,988,
783,5,6651,10,490,9194
784,5,840,143,993,1121
785,,,7,494,
786,,,7,494,
787,5,4109,35,983,5723
788,,,164,996,
789,5,17280,51,483,26960
790,5,1938,35,983,2812
791,,,7,494,
792,4.8,4190,14,440,5601
793,,,7,494,
794,5,22505,51,483,37673
795,,,7,494,
796,5,4095,35,983,5448
797,4.8,6515,14,440,9329
798,5,2758,35,983,3805
799,5,71,35,983,105
800,5,28984,51,483,51612
801,5,46,143,993,67
802,4.6,2844,7,53165,3807
803,5,6000,10,490,8758
804,5,8671,51,483,12602
805,,,7,494,
806,,,164,996,
807,5,4057,35,983,5845
808,5,2827,51,483,3758
809,,,7,494,
810,5,23291,51,483,37689
811,5,4241,51,483,5780
812,5,5074,10,490,7212
813,5,11,143,993,18
814,5,2722,35,983,3896
815,,,164,996,
816,5,2448,51,483,3337
817,5,683,143,993,962
818,5,4930,35,983,6609
819,5,16907,51,483,25822
820,5,2716,35,983,3625
821,5,2158,10,490,3082
822,5,20062,51,483,30265
823,,,86,988,
824,5,4620,10,490,6250
825,5,20912,51,483,32291
826,,,86,988,
827,,,7,494,
828,,,86,988,
829,5,6740,51,483,9441
830,4.9,2660,3,53,3828
831,5,7612,51,483,10414
832,5,4758,10,490,6642
833,5,1862,10,490,2683
834,5,4836,10,490,6916
835,,,7,494,
836,5,2610,10,490,3803
837,5,1280,10,490,1757
838,5,14593,51,483,22508
839,5,766,3,195,1087
840,,,164,996,
841,5,5118,10,490,6961
842,5,884,143,993,1246
843,5,1893,10,490,2723
844,,,164,996,
845,5,6339,35,983,9061
846,5,5125,35,983,7175
847,,,164,996,
848,5,4606,51,483,6740
849,5,6525,35,983,8832
850,5,11481,51,483,15915
851,,,164,996,
852,5,1239,143,993,1664
853,,,86,988,
854,5,5734,10,490,7791
855,5,771,10,490,1079
856,,,164,996,
857,,,7,494,
858,5,2773,35,983,3768
859,5,15188,51,483,23101
860,5,3685,51,483,5103
861,5,2232,10,490,3020
862,5,80,10,490,119
863,5,1280,143,993,1827
864,5,13783,51,483,21024
865,5,26743,51,483,46752
866,,,86,988,
867,5,25786,51,483,43997
868,,,164,996,
869,,,164,996,
870,,,86,988,
871,5,4210,10,490,5750
872,,,164,996,
873,5,4751,10,490,6332
874,,,164,996,
875,5,3707,35,983,4989
876,5,3564,35,983,4930
877,5,2632,10,490,3734
878,5,7703,51,483,11008
879,5,7243,51,483,9790
880,5,2023,51,483,2865
881,4.9,6460,21,91434,9146
882,5,29568,51,483,50125
883,,,164,996,
884,5,28505,51,483,49272
885,5,21342,51,483,34332
886,,,164,996,
887,,,7,494,
888,,,86,988,
889,,,86,988,
890,,,7,494,
891,,,7,494,
892,5,12803,51,483,19321
893,5,5298,10,490,7255
894,,,86,988,
895,,,7,494,
896,5,3883,35,983,5588
897,5,6280,51,483,8456
898,,,86,988,
899,5,19604,51,483,29853
900,5,3225,35,983,4641
901,5,1588,51,483,2186
902,,,164,996,
903,5,9644,51,483,13314
904,,,7,494,
905,4.9,174,3,53,241
906,5,1051,143,993,1428
907,5,2165,51,483,3077
908,5,17144,51,483,25742
909,5,29247,51,483,53568
910,5,767,143,993,1068
911,5,3591,51,483,4852
912,5,4933,35,983,7214
913,5,2135,35,983,2870
914,,,164,996,
915,,,164,996,
916,5,20389,51,483,33024
917,,,86,988,
918,5,21983,51,483,34061
919,,,7,494,
920,,,164,996,
921,5,1206,143,993,1639
922,,,164,996,
923,5,22489,51,483,36206
924,,,7,494,
925,,,7,494,
926,,,7,494,
927,5,9904,51,483,13711
928,5,23741,51,483,39392
929,,,164,996,
930,,,86,988,
931,,,164,996,
932,,,7,494,
933,5,23161,51,483,38479
934,,,164,996,
935,5,334,35,983,450
936,,,86,988,
937,5,20670,51,483,31975
938,,,164,996,
939,5,3242,10,490,4715
940,5,6135,35,983,8252
941,5,100,143,993,148
942,5,2213,10,490,3196
943,5,27132,51,483,45287
944,5,20644,51,483,31226
945,5,8974,51,483,12933
946,,,164,996,
947,4.6,883,7,53165,1251
948,5,529,10,490,731
949,5,20586,51,483,33790
950,5,605,35,983,824
951,,,86,988,
952,,,164,996,
953,5,2987,10,490,4266
954,,,164,996,
955,,,164,996,
956,5,6250,10,490,8835
957,5,5192,51,483,7452
958,5,5994,35,983,8295
959,,,86,988,
960,,,164,996,
961,,,86,988,
962,5,11277,51,483,16641
963,5,803,35,983,1115
964,,,86,988,
965,5,6614,10,490,9134
966,4.8,5600,14,440,7546
967,5,4761,51,483,6720
968,5,25090,51,483,41031
969,5,6694,51,483,9772
970,5,5974,10,490,8341
971,,,164,996,
972,5,2925,35,983,4265
973,4.9,3975,21,91434,5762
974,,,164,996,
975,5,13685,51,483,20528
976,5,2151,10,490,2977
977,5,28102,51,483,50293
978,5,5991,10,490,8531
979,5,2646,10,490,3753
980,5,9517,51,483,13172
981,,,86,988,
982,5,4313,10,490,5745
983,5,2225,10,490,3173
984,,,164,996,
985,5,362,143,993,510
986,,,164,996,
987,5,6188,10,490,8951
988,5,4501,10,490,6069
989,5,5045,35,983,7153
990,,,7,494,
991,5,18001,51,483,27043
992,5,5235,10,490,7060
993,,,86,988,
994,,,164,996,
995,,,7,494,
996,,,164,996,
997,5,4055,35,983,5899
998,5,29868,51,483,53748
999,5,4715,35,983,6646
1000,5,26860,51,483,46034
1001,,,164,996,
1002,5,6087,35,983,8408
1003,5,2456,35,983,3260
1004,5,4159,35,983,6025
1005,5,27936,51,483,46225
1006,5,1894,143,993,2655
1007,5,2242,10,490,3077
1008,5,25958,51,483,44703
1009,,,7,494,
1010,5,3362,10,490,4870
1011,5,6525,10,490,9019
1012,5,3422,51,483,4675
1013,5,6313,10,490,8673
1014,,,86,988,
1015,5,3783,35,983,5462
1016,5,24085,51,483,38641
1017,5,508,143,993,739
1018,,,7,494,
1019,,,7,494,
1020,,,7,494,
1021,4.9,2196,3,53,3014
1022,5,1209,10,490,1627
1023,5,4604,35,983,6419
1024,,,164,996,
1025,5,13507,51,483,20733
1026,5,1085,51,483,1574
1027,,,7,494,
1028,5,2052,51,483,2980
1029,5,19468,51,483,29250
1030,,,7,494,
1031,5,6019,51,483,8272
1032,,,7,494,
1033,,,7,494,
1034,,,86,988,
1035,,,86,988,
1036,,,164,996,
1037,5,1897,3,195,2750
1038,,,86,988,
1039,5,21980,51,483,33834
1040,5,22448,51,483,36686
1041,,,86,988,
1042,,,7,494,
1043,5,27444,51,483,45420
1044,,,86,988,
1045,5,28120,51,483,48001
1046,,,164,996,
1047,,,86,988,
1048,,,164,996,
1049,,,7,494,
1050,5,7686,51,483,10372
1051,5,1840,143,993,2660
1052,5,4287,35,983,6134
1053,,,86,988,
1054,5,5034,35,983,7005
1055,5,1711,3,195,2332
1056,5,6172,10,490,8868
1057,,,164,996,
1058,,,7,494,
1059,5,1652,10,490,2245
1060,5,3064,35,983,4225
1061,5,25371,51,483,41676
1062,,,86,988,
1063,5,827,143,993,1123
1064,,,7,494,
1065,5,1354,35,983,1857
1066,5,1806,143,993,2562
1067,5,6231,35,983,8547
1068,5,5148,10,490,7420
1069,,,164,996,
1070,5,4694,10,490,6304
1071,,,86,988,
1072,5,4028,35,983,5573
1073,,,164,996,
1074,5,17947,51,483,26935
1075,5,1431,143,993,1927
1076,5,26794,51,483,46245
1077,5,21861,51,483,33498
1078,,,7,494,
1079,,,86,988,
1080,5,15938,51,483,24270
1081,5,6248,51,483,8980
1082,,,164,996,
1083,5,2906,35,983,3889
1084,5,23910,51,483,40016
1085,,,7,494,
1086,5,14665,51,483,22777
1087,,,164,996,
1088,,,7,494,
1089,,,7,494,
1090,5,23704,51,483,39601
1091,5,11295,51,483,16058
1092,,,164,996,
1093,,,7,494,
1094,,,86,988,
1095,5,4586,35,983,6441
1096,4.6,2832,7,53165,3803
1097,5,1536,10,490,2141
1098,5,22747,51,483,35530
1099,5,3812,35,983,5328
1100,,,7,494,
1101,5,232,10,490,311
1102,5,3981,35,983,5773
1103,5,2102,143,993,2925
1104,5,22758,51,483,38395
1105,5,1492,10,490,1980
1106,5,1680,143,993,2248
1107,5,5192,10,490,6987
1108,,,86,988,
1109,,,7,494,
1110,5,269,143,993,385
1111,5,1599,3,195,2129
1112,,,7,494,
1113,,,86,988,
1114,4.6,2570,7,53165,3457
1115,,,86,988,
1116,,,164,996,
1117,5,23236,51,483,38868
1118,5,1004,10,490,1348
1119,5,17824,51,483,27480
1120,5,23993,51,483,39689
1121,,,164,996,
1122,5,397,35,983,537
1123,5,2205,10,490,3136
1124,5,3992,35,983,5783
1125,5,6131,35,983,8473
1126,5,143,35,983,204
1127,5,3496,35,983,4857
1128,5,24056,51,483,41270
1129,5,2284,10,490,3060
1130,5,1236,143,993,1700
1131,,,164,996,
1132,5,1555,35,983,2218
1133,5,2713,35,983,3664
1134,5,513,35,983,723
1135,,,164,996,
1136,5,1223,10,490,1746
1137,,,164,996,
1138,5,6369,51,483,8835
1139,5,26337,51,483,45159
1140,,,7,494,
1141,5,5254,35,983,7131
1142,5,2134,10,490,3003
1143,5,7260,51,483,9757
1144,5,511,143,993,709
1145,5,6246,35,983,9115
1146,,,86,988,
1147,5,20874,51,483,33359
1148,,,86,988,
1149,,,7,494,
1150,4.9,1102,3,53,1500
